date,GSCPI
2021-06,2.830221872265033
2021-07,3.010141189370568
2021-08,3.3856253382533024
2021-09,3.4570157002155875
2021-10,4.004179961185753
2021-11,4.410103696960966
2021-12,4.487952923456126
2022-01,3.7752051635270565
2022-02,2.8502603646535367
2022-03,2.90310810384796
2022-04,3.599586498187192
2022-05,2.801015047440758
2022-06,2.4661611170016835
2022-07,1.8655129664162544
2022-08,1.5428728066959234
2022-09,1.0455336750278017
2022-10,1.1500700577065777
2022-11,1.27814929284958
2022-12,1.3484549716876613
2023-01,1.087797980587445
2023-02,-0.2254747268006647
2023-03,-1.1674241167820636
2023-04,-1.3116601272112964
2023-05,-1.5902095379691241
2023-06,-1.1187357914598504
2023-07,-0.9469449369655811
2023-08,-1.0776732646928744
2023-09,-0.6594858461577708
2023-10,-0.37479823517378325
2023-11,0.16556699102507638
2023-12,-0.16266676265852154
2024-01,-0.34087049345610815
2024-02,-0.19160747187679628
2024-03,-0.35310371160166404
2024-04,-0.9594030749976189
2024-05,-0.5840523335409036
2024-06,-0.3512476873787159
2024-07,-0.04446702345998025
2024-08,0.21224637735847704
2024-09,0.10587893769706719
2024-10,-0.3486720340576891
2024-11,-0.28154256894855306
2024-12,-0.2629312544268266
2025-01,-0.17821778132227253
2025-02,0.0004617904094756169
2025-03,-0.18183301724012868
2025-04,-0.2440076845224407
2025-05,0.2779360309817102
2025-06,0.08507937148315141
2025-07,0.022221705886129706
2025-08,-0.08503711363055212
2025-09,-0.02299162587429852
2025-10,-0.08219509551487089
2025-11,-0.1566948090169795
2025-12,0.5438140135774694
2026-01,0.41577840516180636
2026-02,0.4935899721307661
